TITULOS,NOTAS,ANO
Hotel Transilvânia 3: Férias Monstruosas,6.3,2018
Esposa de Mentirinha,6.4,2011
Afinado no Amor,6.8,1998
Hotel Transilvânia,7.1,2012
O Rei da Água,6.1,1998
Gente Grande (I),6,2010
"Billy Madison, um Herdeiro Bobalhão",6.4,1995
Pixels,5.6,2015
Hotel Transilvânia 2,6.7,2015
Os 6 Ridículos,4.8,2015
Garota Veneno,5.5,2002
Golpe Baixo,6.4,2005
O Paizão,6.4,1999
Gente Grande 2,5.4,2013
Um Maluco no Golfe,7,1996
Um Gigolô Europeu por Acidente,4.6,2005
Como se Fosse a Primeira Vez,6.8,2004
Este é o Meu Garoto,5.6,2012
Click,6.4,2006
Tratamento de Choque,6.2,2003
Os Meyerowitz: Família Não Se Escolhe,6.9,2017
A Casa das Coelhinhas,5.5,2008
Lá Vêm os Pais,5.1,2018
Juntos e Misturados,6.5,2014
Zerando a Vida,5.7,2016
Embriagado de Amor,7.3,2002
Um Diabo Diferente,5.3,2000
Zohan: O Agente Bom de Corte,5.5,2008
Tá Rindo do Que?,6.3,2009
A Herança de Mr. Deeds,5.8,2002
"Homens, Mulheres e Filhos",6.7,2014
Um Faz de Conta Que Acontece,6.1,2008
Gigolô por Acidente,5.7,1999
Queridinho da Vovó,7,2006
Sandy Wexler,5.1,2017
Espanglês,6.4,2004
Joe Sujo,5.9,2001
Trocando os Pés,5.8,2014
Eu os Declaro Marido e... Larry,6,2007
Cônicos & Cômicos,5.3,1993
Cada um tem a Gêmea que Merece (I),3.3,2011
O Zelador Animal,5.2,2011
Trabalho Sujo,6.4,1998
Professor Peso Pesado,6.4,2012
Segurança de Shopping,5.2,2009
Os Esquenta-Banco,5.6,2006
Reine Sobre Mim,7.5,2007
Os Cabeça-de-Vento ,6.1,1994
